Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
9.7,159.8,15.08,0.0,-0.051,0.049,0.07072481884034769,2.842170943040401e-14,0.0,24.000000000000227,0.115,0.21500000000000002,63.63636363636363
9.82,158.4,15.08,0.0,-0.053,0.049,0.07218032973047436,0.0,0.0,28.0,0.11,0.20500000000000002,63.63636363636363
9.9,157.0,15.08,0.0,-0.052,0.05,0.07213875518748573,19.800000000000153,0.0,34.00000000000023,0.11,0.2,63.63636363636363
10.02,155.0,17.06,0.0,-0.053,0.053,0.07495331880577404,19.800000000000153,0.0,40.0,0.11,0.195,63.63636363636363
10.12,153.0,17.06,0.0,-0.052,0.053,0.07424957912338628,0.0,0.0,69.00000000000023,0.11499999999999999,0.19,63.63636363636363
10.26,148.1,17.06,0.0,-0.046,0.055,0.07170076708097341,0.0,0.0,55.00000000000023,0.11499999999999999,0.185,63.63636363636363
10.3,147.5,17.06,0.0,-0.045,0.056,0.07184010022264724,0.0,0.0,60.999999999999545,0.11,0.185,63.63636363636363
10.43,142.0,17.06,0.0,-0.037,0.057,0.06795586803212803,0.0,0.0,117.0,0.11,0.18,63.63636363636363
10.51,135.8,17.06,0.0,-0.036,0.056,0.06657326790837295,0.0,0.0,128.0,0.11,0.175,63.63636363636363
10.62,129.2,17.06,0.0,-0.027,0.058,0.06397655820689326,0.0,0.0,154.0,0.11,0.16,63.63636363636363
10.76,120.4,17.06,0.0,-0.026,0.058,0.06356099432828281,7.9000000000000625,0.0,142.00000000000045,0.115,0.135,63.63636363636363
10.85,115.0,17.85,0.0,-0.025,0.059,0.06407807737440317,51.59999999999965,0.0,136.99999999999977,0.11499999999999999,0.11,63.63636363636363
10.95,106.7,22.22,0.0,-0.013,0.066,0.06726812023536856,95.29999999999995,0.0,156.99999999999977,0.11,0.1,63.63636363636363
11.08,99.3,27.38,0.0,-0.015,0.074,0.07550496672405067,103.09999999999994,0.0,156.99999999999977,0.115,0.075,63.63636363636363
11.24,91.0,32.53,0.0,-0.012,0.107,0.10767079455451231,91.19999999999976,0.0,146.99999999999966,0.115,0.06,63.63636363636363
11.42,84.6,36.5,0.0,-0.01,0.139,0.13935924798878618,63.500000000000284,0.0,173.00000000000057,0.12,0.04,63.63636363636363
11.74,73.7,38.88,0.0,-0.002,0.162,0.1620123452086291,67.49999999999977,0.0,193.0,0.125,0.04,63.63636363636363
12.0,65.3,43.25,0.0,-0.008,0.175,0.17518276170902203,115.10000000000014,0.0,196.0000000000001,0.125,0.015,63.63636363636363
12.44,54.1,50.39,0.0,0.006,0.216,0.21608331726442928,145.5999999999998,0.0,165.00000000000034,0.13,0.04,63.63636363636363
12.75,48.8,57.81,0.0,0.005,0.242,0.24205164738129753,171.90000000000003,0.0,159.00000000000034,0.125,0.04,63.63636363636363
13.35,38.2,67.58,0.0,0.009,0.322,0.32212575184235115,191.40000000000066,0.0,185.00000000000063,0.15000000000000002,0.05,63.63636363636363
13.9,30.3,76.95,0.0,0.015,0.364,0.36430893483415966,265.599999999999,0.0,164.9999999999998,0.13,0.05500000000000001,63.63636363636363
14.79,21.7,94.14,0.0,0.013,0.484,0.48417455530004877,230.49999999999875,0.0,143.99999999999963,0.11,0.055,63.63636363636363
15.51,15.9,100.0,0.0,0.02,0.555,0.5553602434456396,58.60000000000048,0.0,138.9999999999997,0.11,0.1,63.63636363636363
16.71,7.8,100.0,0.0,0.026,0.573,0.5735895745217131,0.0,0.0,140.9999999999997,0.105,0.14,63.63636363636363
17.63,1.8,100.0,0.0,0.029,0.585,0.585718362355151,0.0,0.0,94.00000000000033,0.09,0.15500000000000003,63.63636363636363
18.45,-1.6,100.0,0.0,0.032,0.598,0.5988555752433136,0.0,0.0,61.000000000000014,0.07500000000000001,0.155,63.63636363636363
19.53,-4.3,100.0,0.0,0.021,0.44,0.4405008513045122,0.0,0.0,71.00000000000007,0.055,0.07,63.63636363636363
20.32,-8.7,100.0,0.0,0.039,0.575,0.5763210910594891,0.0,0.0,155.99999999999923,0.05,0.19,63.63636363636363
21.68,-19.9,100.0,0.0,0.085,0.568,0.5743248209854768,0.0,0.0,148.9999999999992,0.045,0.425,63.63636363636363
22.71,-23.6,100.0,0.0,0.069,0.852,0.8547894477589203,0.0,0.0,113.0000000000004,0.055,0.355,63.63636363636363
24.27,-31.2,100.0,0.0,0.101,0.716,0.7230885146370395,0.0,0.0,124.00000000000011,0.13,0.43000000000000005,63.63636363636363
25.43,-36.0,100.0,0.0,0.127,0.688,0.6996234701609144,0.0,0.0,118.00000000000011,0.18,0.52,63.63636363636363
26.95,-43.0,100.0,0.0,0.142,0.794,0.8065977932030313,0.0,0.0,121.00000000000006,0.20500000000000002,0.62,63.63636363636363
